company,industry,title,location,work_model,date,url,technologies
Flex Israel,Technology,"My Career at Flex: Zoe Harris, business unit director",Israel,Not Specified,2026-06-06,https://flex.com/resources/my-career-at-flex-zoe-harris-business-unit-director,N/A
Luxoft Israel,Technology,"Be like Shahrizan, Director of Locations Management",Israel,Not Specified,2026-06-06,https://www.luxoft.com/careers,N/A
CyberArk,Technology,Multi-Factor Authentication,Israel,Not Specified,2026-06-06,https://www.cyberark.com/careers/,N/A
Island,Technology,"Director, Global Growth MarketingDallas HQ",Israel,Not Specified,2026-06-06,https://www.island.io/careers/#see-open-positions,N/A
Island,Technology,"Director, Global Growth MarketingDallas HQ",Israel,Not Specified,2026-06-06,https://www.island.io/careers/#,N/A
CloudLock,Technology,Government and Public Sector Cybersecurity,Israel,Not Specified,2026-06-06,https://www.cloudlock.com/careers,N/A
Satori,Technology,Director of Marketing,Israel,Not Specified,2026-06-06,https://satoricyber.com/careers/,N/A
Eureka Security,Technology,"Director of Information Security, IntelyCare",Israel,Not Specified,2026-06-06,https://www.eureka.security/careers,N/A
Checkmarx,Technology,For the Public Sector,Israel,Not Specified,2026-06-06,https://checkmarx.com/careers/company/public-sector/,N/A
Checkmarx,Technology,Partner Directory,Israel,Not Specified,2026-06-06,https://checkmarx.com/careers/company/find-a-partner/,N/A
JFrog,Technology,CTO Office5 Open Positions,Israel,Not Specified,2026-06-06,https://join.jfrog.com/positions?gh_department=40039,N/A
Notion Israel,Technology,"Head of Customer Success, APACTokyo, Japan",Israel,Not Specified,2026-06-06,https://jobs.ashbyhq.com/notion/29d31ee8-a117-42bd-a21e-d243b243be92,N/A
Remote Israel,Technology,Contractor of Record,Israel,Not Specified,2026-06-06,https://remote.com/careers,N/A
Remote Israel,Technology,Contractor of Record,Israel,Not Specified,2026-06-06,https://remote.com/careers,N/A
Remote Israel,Technology,Contractor Management,Israel,Not Specified,2026-06-06,https://remote.com/careers,N/A
Remote Israel,Technology,Contractor Management,Israel,Not Specified,2026-06-06,https://remote.com/careers,N/A
Remote Israel,Technology,Contractor payout calculator,Israel,Not Specified,2026-06-06,https://remote.com/careers,N/A
Remote Israel,Technology,Contractor payout calculator,Israel,Not Specified,2026-06-06,https://remote.com/careers,N/A
Remote Israel,Technology,Contractor Management,Israel,Not Specified,2026-06-06,https://remote.com/careers,N/A
Remote Israel,Technology,Contractor Management,Israel,Not Specified,2026-06-06,https://remote.com/careers,N/A
Oyster HR Israel,Technology,Global Contractors,Israel,Not Specified,2026-06-06,https://www.oysterhr.com/careers,N/A
Oyster HR Israel,Technology,Convert Contractors,Israel,Not Specified,2026-06-06,https://www.oysterhr.com/careers,N/A
PandaDoc Israel,Technology,"Director, Product Marketing",Israel,Not Specified,2026-06-06,https://www.pandadoc.com/careers/,N/A
PandaDoc Israel,Technology,Director of Partnerships,Israel,Not Specified,2026-06-06,https://www.pandadoc.com/careers/,N/A
Dailymotion Israel,Technology,Brand & Communications Director (All Genders),Israel,Not Specified,2026-06-06,https://www.smartrecruiters.com/Dailymotion/744000111620215,N/A
ScaleOps,Technology,"Channel Partners Director, USUSAFull-timeRemoteApply Online",Israel,Not Specified,2026-06-06,https://scaleops.com/careers/scaleops.com/careers/co/usa/B2.74C/channel-partners-director-us/all,N/A
ScaleOps,Technology,Director - Revenue OperationsUSAFull-timeRemoteApply Online,Israel,Not Specified,2026-06-06,https://scaleops.com/careers/scaleops.com/careers/co/usa/07.662/director-revenue-operations/all,N/A
ScaleOps,Technology,Director of Sales - APACAPACFull-timeRemoteApply Online,Israel,Not Specified,2026-06-06,https://scaleops.com/careers/scaleops.com/careers/co/apac/56.16A/director-of-sales-apac/all,N/A
ScaleOps,Technology,Sales Director - USAUSAFull-timeRemoteApply Online,Israel,Not Specified,2026-06-06,https://scaleops.com/careers/scaleops.com/careers/co/usa/AF.554/sales-director-usa/all,N/A
Rivery,Technology,Data Connector Agent,Israel,Not Specified,2026-06-06,https://rivery.io/careers/,N/A
getElementor,Technology,Language selector,Israel,Not Specified,2026-06-06,https://elementor.com/careers/,N/A
MongoDB Israel,Technology,Vector Search,Israel,Not Specified,2026-06-06,https://www.mongodb.com/careers,N/A
MongoDB Israel,Technology,Public Sector,Israel,Not Specified,2026-06-06,https://www.mongodb.com/careers,N/A
Zenoss Israel,Technology,AI Factory Observability,Israel,Not Specified,2026-06-06,https://www.zenoss.com/careers,N/A
Zenoss Israel,Technology,Public Sector,Israel,Not Specified,2026-06-06,https://www.zenoss.com/careers,N/A
Hailo,Technology,"Strategic Sales Director – NABusinessChicago, US",Israel,Not Specified,2026-06-06,https://hailo.ai/company-overview/careers/strategic-sales-director-na/2B.965/,N/A
Hailo,Technology,Strategic Sales Director – NA,Israel,Not Specified,2026-06-06,https://hailo.ai/careers/,N/A
Amgen Israel,Technology,"Process Development Scientific Director, Juncos, PR",Israel,Not Specified,2026-06-06,https://careers.amgen.com/,N/A
Amgen Israel,Technology,"Executive Director Manufacturing, Rhode Island, US",Israel,Not Specified,2026-06-06,https://careers.amgen.com/,N/A
Amgen Israel,Technology,"Process Development Scientific Director, Juncos, PR",Israel,Not Specified,2026-06-06,https://careers.amgen.com/,N/A
Amgen Israel,Technology,"Executive Director Manufacturing, Rhode Island, US",Israel,Not Specified,2026-06-06,https://careers.amgen.com/,N/A
Amgen Israel,Technology,"Process Development Scientific Director, Juncos, PR",Israel,Not Specified,2026-06-06,https://careers.amgen.com/,N/A
Altimmune Israel,Technology,BOARD OF DIRECTORS,Israel,Not Specified,2026-06-06,https://altimmune.com/careers/,N/A
Altimmune Israel,Technology,BOARD OF DIRECTORS,Israel,Not Specified,2026-06-06,https://altimmune.com/careers/,N/A
