company,industry,title,location,work_model,date,url,technologies
Western Digital Israel,Technology,Supply Chain Data AnalystFull-time,Israel/Remote,Remote,2026-06-04,https://jobs.smartrecruiters.com/WesternDigital/744000127843499-supply-chain-data-analyst,Not Specified
Western Digital Israel,Technology,Supply Chain Data Analyst,Israel/Remote,Remote,2026-06-04,https://careers.smartrecruiters.com/WesternDigital,Not Specified
Western Digital Israel,Technology,Data Analytics & Engineering INTERNIntern,Israel/Remote,Remote,2026-06-04,https://jobs.smartrecruiters.com/WesternDigital/744000117762538-data-analytics-engineering-intern,Not Specified
Western Digital Israel,Technology,Data Analytics & Engineering INTERN,Israel/Remote,Remote,2026-06-04,https://careers.smartrecruiters.com/WesternDigital,Not Specified
SanDisk Israel,Technology,Supply Chain Data AnalystFull-time,Israel/Remote,Remote,2026-06-04,https://jobs.smartrecruiters.com/WesternDigital/744000127843499-supply-chain-data-analyst,Not Specified
SanDisk Israel,Technology,Supply Chain Data Analyst,Israel/Remote,Remote,2026-06-04,https://careers.smartrecruiters.com/WesternDigital,Not Specified
SanDisk Israel,Technology,Data Analytics & Engineering INTERNIntern,Israel/Remote,Remote,2026-06-04,https://jobs.smartrecruiters.com/WesternDigital/744000117762538-data-analytics-engineering-intern,Not Specified
SanDisk Israel,Technology,Data Analytics & Engineering INTERN,Israel/Remote,Remote,2026-06-04,https://careers.smartrecruiters.com/WesternDigital,Not Specified
Notion Israel,Technology,"Data Engineer, Go-To-MarketSan Francisco, California",Israel/Remote,Remote,2026-06-04,https://jobs.ashbyhq.com/notion/655b047b-5e58-4b0c-82f0-8c16b2c03318,Go
Notion Israel,Technology,"Data Engineer, People AnalyticsSan Francisco, California",Israel/Remote,Remote,2026-06-04,https://jobs.ashbyhq.com/notion/a1216dba-e175-4a3d-b712-401c9fbdcd92,Not Specified
Pecan AI,Technology,Lead Scoring with Predictive Analytics,Israel/Remote,Remote,2026-06-04,https://www.pecan.ai/careers/,Not Specified
Pecan AI,Technology,Predictive Analytics Solution Engineer,Israel/Remote,Remote,2026-06-04,https://www.pecan.ai/careers/,Not Specified
Explorium,Technology,Senior Data Engineer,Israel/Remote,Remote,2026-06-04,https://www.explorium.ai/careers/,Not Specified
