company,industry,title,location,work_model,date,url,technologies
Flex Israel,Technology,"My Career at Flex: Zoe Harris, business unit director",Israel/Remote,Remote,2026-06-04,https://flex.com/resources/my-career-at-flex-zoe-harris-business-unit-director,N/A
Luxoft Israel,Technology,"Be like Shahrizan, Director of Locations Management",Israel/Remote,Remote,2026-06-04,https://www.luxoft.com/careers,N/A
CyberArk,Technology,Multi-Factor Authentication,Israel/Remote,Remote,2026-06-04,https://www.cyberark.com/careers/,N/A
Island,Technology,"Director, Global Growth MarketingDallas HQ",Israel/Remote,Remote,2026-06-04,https://www.island.io/careers/#see-open-positions,N/A
Island,Technology,"Director, Global Growth MarketingDallas HQ",Israel/Remote,Remote,2026-06-04,https://www.island.io/careers/#,N/A
CloudLock,Technology,Government and Public Sector Cybersecurity,Israel/Remote,Remote,2026-06-04,https://www.cloudlock.com/careers,N/A
Satori,Technology,Director of Marketing,Israel/Remote,Remote,2026-06-04,https://satoricyber.com/careers/,N/A
Eureka Security,Technology,"Director of Information Security, IntelyCare",Israel/Remote,Remote,2026-06-04,https://www.eureka.security/careers,N/A
Lacoon Mobile Security,Technology,Doctor on the Edge (2026),Israel/Remote,Remote,2026-06-04,https://lacoon.com/careers,N/A
Checkmarx,Technology,For the Public Sector,Israel/Remote,Remote,2026-06-04,https://checkmarx.com/careers/company/public-sector/,N/A
Checkmarx,Technology,Partner Directory,Israel/Remote,Remote,2026-06-04,https://checkmarx.com/careers/company/find-a-partner/,N/A
JFrog,Technology,CTO Office5 Open Positions,Israel/Remote,Remote,2026-06-04,https://join.jfrog.com/positions?gh_department=40039,N/A
Notion Israel,Technology,"Head of Customer Success, APACTokyo, Japan",Israel/Remote,Remote,2026-06-04,https://jobs.ashbyhq.com/notion/29d31ee8-a117-42bd-a21e-d243b243be92,N/A
Remote Israel,Technology,Contractor of Record,Israel/Remote,Remote,2026-06-04,https://remote.com/careers,N/A
Remote Israel,Technology,Contractor of Record,Israel/Remote,Remote,2026-06-04,https://remote.com/careers,N/A
Remote Israel,Technology,Contractor Management,Israel/Remote,Remote,2026-06-04,https://remote.com/careers,N/A
Remote Israel,Technology,Contractor Management,Israel/Remote,Remote,2026-06-04,https://remote.com/careers,N/A
Remote Israel,Technology,Contractor payout calculator,Israel/Remote,Remote,2026-06-04,https://remote.com/careers,N/A
Remote Israel,Technology,Contractor payout calculator,Israel/Remote,Remote,2026-06-04,https://remote.com/careers,N/A
Remote Israel,Technology,Contractor Management,Israel/Remote,Remote,2026-06-04,https://remote.com/careers,N/A
Remote Israel,Technology,Contractor Management,Israel/Remote,Remote,2026-06-04,https://remote.com/careers,N/A
Oyster HR Israel,Technology,Global Contractors,Israel/Remote,Remote,2026-06-04,https://www.oysterhr.com/careers,N/A
Oyster HR Israel,Technology,Contractor Conversion,Israel/Remote,Remote,2026-06-04,https://www.oysterhr.com/careers,N/A
PandaDoc Israel,Technology,"Director, Product Marketing",Israel/Remote,Remote,2026-06-04,https://www.pandadoc.com/careers/,N/A
PandaDoc Israel,Technology,Director of Partnerships,Israel/Remote,Remote,2026-06-04,https://www.pandadoc.com/careers/,N/A
Dailymotion Israel,Technology,Brand & Communications Director (All Genders),Israel/Remote,Remote,2026-06-04,https://www.smartrecruiters.com/Dailymotion/744000111620215,N/A
ScaleOps,Technology,"Channel Partners Director, USUSAFull-timeRemoteApply Online",Israel/Remote,Remote,2026-06-04,https://scaleops.com/careers/scaleops.com/careers/co/usa/B2.74C/channel-partners-director-us/all,N/A
ScaleOps,Technology,Director - Revenue OperationsUSAFull-timeRemoteApply Online,Israel/Remote,Remote,2026-06-04,https://scaleops.com/careers/scaleops.com/careers/co/usa/07.662/director-revenue-operations/all,N/A
ScaleOps,Technology,Director of Sales - APACAPACFull-timeRemoteApply Online,Israel/Remote,Remote,2026-06-04,https://scaleops.com/careers/scaleops.com/careers/co/apac/56.16A/director-of-sales-apac/all,N/A
ScaleOps,Technology,Sales Director - USAUSAFull-timeRemoteApply Online,Israel/Remote,Remote,2026-06-04,https://scaleops.com/careers/scaleops.com/careers/co/usa/AF.554/sales-director-usa/all,N/A
Rivery,Technology,Data Connector Agent,Israel/Remote,Remote,2026-06-04,https://rivery.io/careers/,N/A
getElementor,Technology,Language selector,Israel/Remote,Remote,2026-06-04,https://elementor.com/careers/,N/A
MongoDB Israel,Technology,Vector Search,Israel/Remote,Remote,2026-06-04,https://www.mongodb.com/careers,N/A
MongoDB Israel,Technology,Public Sector,Israel/Remote,Remote,2026-06-04,https://www.mongodb.com/careers,N/A
Zenoss Israel,Technology,AI Factory Observability,Israel/Remote,Remote,2026-06-04,https://www.zenoss.com/careers,N/A
Zenoss Israel,Technology,Public Sector,Israel/Remote,Remote,2026-06-04,https://www.zenoss.com/careers,N/A
Hailo,Technology,"Strategic Sales Director – NABusinessChicago, US",Israel/Remote,Remote,2026-06-04,https://hailo.ai/company-overview/careers/strategic-sales-director-na/2B.965/,N/A
Hailo,Technology,Strategic Sales Director – NA,Israel/Remote,Remote,2026-06-04,https://hailo.ai/careers/,N/A
Amgen Israel,Technology,"Process Development Scientific Director, Juncos, PR",Israel/Remote,Remote,2026-06-04,https://careers.amgen.com/,N/A
Amgen Israel,Technology,"Executive Director Manufacturing, Rhode Island, US",Israel/Remote,Remote,2026-06-04,https://careers.amgen.com/,N/A
Amgen Israel,Technology,"Process Development Scientific Director, Juncos, PR",Israel/Remote,Remote,2026-06-04,https://careers.amgen.com/,N/A
Amgen Israel,Technology,"Executive Director Manufacturing, Rhode Island, US",Israel/Remote,Remote,2026-06-04,https://careers.amgen.com/,N/A
Amgen Israel,Technology,"Process Development Scientific Director, Juncos, PR",Israel/Remote,Remote,2026-06-04,https://careers.amgen.com/,N/A
Altimmune Israel,Technology,BOARD OF DIRECTORS,Israel/Remote,Remote,2026-06-04,https://altimmune.com/careers/,N/A
Altimmune Israel,Technology,BOARD OF DIRECTORS,Israel/Remote,Remote,2026-06-04,https://altimmune.com/careers/,N/A
