company,industry,title,location,work_model,date,url,technologies
Microsoft Israel,Technology,Senior Product Manager,Israel,Not Specified,2026-06-07,https://careers.microsoft.com/v2/global/en/locations/israel.html,N/A
Arm Israel,Technology,Senior Product Manager - Compute Subsystems (Physical AI),Israel,Not Specified,2026-06-07,https://careers.arm.com/job/austin/senior-product-manager-compute-subsystems-physical-ai/33099/94526853472,N/A
Noma Security,Technology,Product ManagerTel Aviv  ·  Full-time  ·  Senior,Israel,Not Specified,2026-06-07,https://www.noma.security/careers/noma.security/careers/co/tel-aviv/AB.366/product-manager/all,N/A
Noma Security,Technology,Senior Product ManagerTel Aviv  ·  Full-time  ·  Senior,Israel,Not Specified,2026-06-07,https://www.noma.security/careers/noma.security/careers/co/tel-aviv/7C.167/senior-product-manager/all,N/A
eToro,Technology,"Product Manager, Crypto",Israel,Not Specified,2026-06-07,https://www.etoro.com/about/careers/,N/A
Wise Israel,Technology,Senior/Principal Product Manager - Account Setup,Israel,Not Specified,2026-06-07,https://wise.jobs/job/senior-principal-product-manager-account-setup-in-london-jid-3626,N/A
Wise Israel,Technology,Senior/Principal Product Manager - Account Setup,Israel,Not Specified,2026-06-07,https://wise.jobs/job/senior-principal-product-manager-account-setup-in-london-jid-3626,N/A
PandaDoc Israel,Technology,"Principal Product Manager, Document Domain",Israel,Not Specified,2026-06-07,https://www.pandadoc.com/careers/,N/A
Qodo,Technology,Product Manager,Israel,Not Specified,2026-06-07,https://www.qodo.ai/careers/,N/A
ScaleOps,Technology,Product ManagerIsraelFull-timeOn-siteApply Online,Israel,On-site,2026-06-07,https://scaleops.com/careers/scaleops.com/careers/co/israel/FC.264/product-manager/all,N/A
ScaleOps,Technology,Product Manager- USUSAFull-timeRemoteApply Online,Israel,Not Specified,2026-06-07,https://scaleops.com/careers/scaleops.com/careers/co/usa/96.B6F/product-manager-us/all,N/A
Pecan AI,Technology,"ProductProduct ManagerRamat Gan, Tel Aviv District, Israel",Israel,Not Specified,2026-06-07,https://www.pecan.ai/careers/career-job/product-manager/,N/A
Pecan AI,Technology,Product Manager,Israel,Not Specified,2026-06-07,https://www.pecan.ai/careers/,N/A
