company,industry,title,location,work_model,date,url,technologies
Western Digital Israel,Technology,"Senior Engineer, Quality Assurance EngineeringFull-time",Israel/Remote,Remote,2026-06-04,https://jobs.smartrecruiters.com/WesternDigital/744000129441659--senior-engineer-quality-assurance-engineering,N/A
Western Digital Israel,Technology,"Senior Engineer, Quality Assurance Engineering",Israel/Remote,Remote,2026-06-04,https://careers.smartrecruiters.com/WesternDigital,N/A
SanDisk Israel,Technology,"Senior Engineer, Quality Assurance EngineeringFull-time",Israel/Remote,Remote,2026-06-04,https://jobs.smartrecruiters.com/WesternDigital/744000129441659--senior-engineer-quality-assurance-engineering,N/A
SanDisk Israel,Technology,"Senior Engineer, Quality Assurance Engineering",Israel/Remote,Remote,2026-06-04,https://careers.smartrecruiters.com/WesternDigital,N/A
Arm Israel,Technology,Runtimes Automation Engineer,Israel/Remote,Remote,2026-06-04,https://careers.arm.com/job/cambridge/runtimes-automation-engineer/33099/92129592112,N/A
Silverfort,Technology,QA Engineer,Israel/Remote,Remote,2026-06-04,https://www.silverfort.com/careers/,N/A
Silverfort,Technology,QA Engineer,Israel/Remote,Remote,2026-06-04,https://www.silverfort.com/careers/,N/A
Island,Technology,QA Engineer- TorontoToronto,Israel/Remote,Remote,2026-06-04,https://www.island.io/careers/#see-open-positions,N/A
Island,Technology,QA Engineer- TorontoToronto,Israel/Remote,Remote,2026-06-04,https://www.island.io/careers/#,N/A
Jwplayer Israel,Technology,QA Automation Engineer,Israel/Remote,Remote,2026-06-04,https://www.jwplayer.com/careers/,N/A
Hailo,Technology,"ATE – Test EngineerOperationsTel Aviv-Yafo, IL",Israel/Remote,Remote,2026-06-04,https://hailo.ai/company-overview/careers/ate-test-engineer/7E.A6C/,N/A
Hailo,Technology,ATE – Test Engineer,Israel/Remote,Remote,2026-06-04,https://hailo.ai/careers/,N/A
Hailo,Technology,"CI and Automation EngineerSoftwareTel Aviv-Yafo, IL",Israel/Remote,Remote,2026-06-04,https://hailo.ai/company-overview/careers/ci-and-automation-engineer/A8.863/,N/A
Hailo,Technology,CI and Automation Engineer,Israel/Remote,Remote,2026-06-04,https://hailo.ai/careers/,N/A
Arbe Robotics,Technology,Chip Test EngineerTel Aviv  ·  Full-time,Israel/Remote,Remote,2026-06-04,https://arberobotics.com/careers/arberobotics.com/career/co/operation/F0.44A/chip-test-engineer/all,N/A
