company,industry,title,location,work_model,date,url,technologies
Veeam Software Israel,Technology,Sales Engineering,Israel (Assumed),Not Specified,2026-08-10,https://careers.veeam.com/,N/A
Aqua Security,Technology,WW Sales2 Positions,Israel (Assumed),Not Specified,2026-08-10,https://www.aquasec.com/about-us/careers/#ww-sales,N/A
Noma Security,Technology,Senior Technical Account ManagerUSA [Remote]  ·  Full-time  ·  Senior,Israel (Assumed),Not Specified,2026-08-10,https://www.noma.security/careers/noma.security/careers/co/usa-remote/8A.D58/senior-technical-account-manager/all,N/A
Noma Security,Technology,Senior Technical Account ManagerTel Aviv  ·  Full-time  ·  Senior,Israel (Assumed),Not Specified,2026-08-10,https://www.noma.security/careers/noma.security/careers/co/tel-aviv/EA.964/senior-technical-account-manager/all,N/A
Noma Security,Technology,Senior Sales EngineerUSA [Remote]  ·  Full-time  ·  Senior,Israel (Assumed),Not Specified,2026-08-10,https://www.noma.security/careers/noma.security/careers/co/usa-remote/36.A62/senior-sales-engineer/all,N/A
Silverfort,Technology,AVP of Commercial Sales,Israel (Assumed),Not Specified,2026-08-10,https://www.silverfort.com/careers/,N/A
Descope,Technology,Sales Development Representative (DACH)Germany,Israel (Assumed),Not Specified,2026-08-10,https://job-boards.greenhouse.io/descope/jobs/4336096009,N/A
JFrog,Technology,Sales5 Open Positions,Israel (Assumed),Not Specified,2026-08-10,https://join.jfrog.com/positions?gh_department=39295,N/A
Yotpo,Technology,"Toronto, CASales Enablement Manager",Israel (Assumed),Not Specified,2026-08-10,https://www.yotpo.com/careers/gid-8048739/,N/A
HubSpot Israel,Technology,Grow sales and get paid,Israel (Assumed),Not Specified,2026-08-10,https://www.hubspot.com/use-case/grow-sales-and-get-paid-faster?hubs_content=www.hubspot.com/careers&hubs_content-cta=nav-solutions-grow,N/A
HubSpot Israel,Technology,Automate sales prospecting,Israel (Assumed),Not Specified,2026-08-10,https://www.hubspot.com/products/sales/ai-prospecting-agent?hubs_content=www.hubspot.com/careers&hubs_content-cta=nav-solutions-prospectagent,N/A
Intercom Israel,Technology,Sales role,Israel (Assumed),Not Specified,2026-08-10,https://www.intercom.com/careers/sales,N/A
Intercom Israel,Technology,Fin for Salesforce,Israel (Assumed),Not Specified,2026-08-10,https://www.intercom.com/careers/integrations/salesforce,N/A
Intercom Israel,Technology,Contact sales,Israel (Assumed),Not Specified,2026-08-10,https://www.intercom.com/careers/contact-sales,N/A
Notion Israel,Technology,"Business Development Manager, DACHDublin, Ireland",Israel (Assumed),Not Specified,2026-08-10,https://jobs.ashbyhq.com/notion/3f842011-eb04-4b75-bf92-8be5a5ce02b2,N/A
Notion Israel,Technology,"Sales Operations Lead, AMERSan Francisco, California",Israel (Assumed),Not Specified,2026-08-10,https://jobs.ashbyhq.com/notion/cb4f5e1a-88e4-4259-b73c-ac975dbcde5f,N/A
Notion Israel,Technology,"Commercial Sales Manager, JapanTokyo, Japan",Israel (Assumed),Not Specified,2026-08-10,https://jobs.ashbyhq.com/notion/e95ff317-92fe-4e34-88da-a83fe093f017,N/A
Notion Israel,Technology,"Commercial Sales Manager, KoreaSeoul, South Korea",Israel (Assumed),Not Specified,2026-08-10,https://jobs.ashbyhq.com/notion/44b0bcb8-3574-4bf8-b13b-ee2fc57346e9,N/A
Notion Israel,Technology,"Enterprise Sales LeaderSan Francisco, California",Israel (Assumed),Not Specified,2026-08-10,https://jobs.ashbyhq.com/notion/7f02bc74-65e8-4b62-a2dc-aee2fa8a3894,N/A
Squarespace Israel,Technology,SalesLearn More,Israel (Assumed),Not Specified,2026-08-10,https://www.squarespace.com/careers/careers/sales,N/A
Vimeo Israel,Technology,Contact Sales,Israel (Assumed),Not Specified,2026-08-10,https://vimeo.com/careers,N/A
Dailymotion Israel,Technology,Sales Manager – France (All Genders),Israel (Assumed),Not Specified,2026-08-10,https://www.smartrecruiters.com/Dailymotion/744000130401349,N/A
Dailymotion Israel,Technology,Sales Manager UK – (All Genders),Israel (Assumed),Not Specified,2026-08-10,https://www.smartrecruiters.com/Dailymotion/744000130249179,N/A
Datarails,Technology,FP&A Technical Account ManagerUK,Israel (Assumed),Not Specified,2026-08-10,https://www.datarails.com/careers/4302555009/,N/A
Datarails,Technology,FP&A Technical Account ManagerUnited States,Israel (Assumed),Not Specified,2026-08-10,https://www.datarails.com/careers/4261419009/,N/A
Explorium,Technology,Sales & Business Development (1),Israel (Assumed),Not Specified,2026-08-10,https://www.explorium.ai/careers/,N/A
Arbe Robotics,Technology,Business Development ManagerTel Aviv  ·  Full-time,Israel (Assumed),Not Specified,2026-08-10,https://arberobotics.com/careers/arberobotics.com/career/co/business/E9.B60/business-development-manager/all,N/A
Novartis Israel,Technology,Commercial & Sales,Israel (Assumed),Not Specified,2026-08-10,https://www.novartis.com/careers,N/A
